UserIndex,UserID,CreatedAt,UserName,ScreenName,FollowersCount,FriendsCount,Followers,Friends
838115043560521728,838115043560521728,2019-08-14 18:55:54,Alison Cummings,NoneYaBizznez,51,159,[],[]
838174727143317505,838174727143317505,2019-08-14 20:14:42,@Melissa,Melissa31920880,6821,6103,[],[]
838250853073055744,838250853073055744,2019-08-14 19:25:42,🇺🇸,USAreginageorge,524,197,[],[]
838448820975448068,838448820975448068,2019-08-14 20:07:32,Hugh Long,2020hugh,300,193,[],[]
838619024137211904,838619024137211904,2019-08-14 17:51:20,JewelsS,JewelsMaga45,2494,2692,[],[]
838766457647476736,838766457647476736,2019-08-14 18:23:07,Thomas Hammer,th0masHammer,22,108,[],[]
839479233185460225,839479233185460225,2019-08-14 17:45:06,SEC DERA,SEC_DERA,4822,10,[],[]
839977914057818112,839977914057818112,2019-08-14 18:48:18,AllianceForTrump,trump_alliance,312,98,[],[]
840326713091416064,840326713091416064,2019-08-14 19:10:11,Clifton Spratley,CliftonSpratley,31,61,[],[]
840381571517448192,840381571517448192,2019-08-14 19:03:11,Candy,CandyCaulton,874,1073,[],[]
841259058715906049,841259058715906049,2019-08-14 19:50:35,Snake,NakedSnakeing,38,956,[],[]
841373511734177794,841373511734177794,2019-08-14 18:46:55,pearljohn,mjohn55,14597,15172,[],[]
841692239562653697,841692239562653697,2019-08-14 19:50:23,Teri,Crowntiptoe,10342,9964,[],[]
841776095275962368,841776095275962368,2019-08-14 20:06:12,James Jordan,jamesjordan367,449,90,[],[]
842027270290178049,842027270290178049,2019-08-14 19:07:13,Leon van Rossum,RossumLeon,89,484,[],[]
843312340716212226,843312340716212226,2019-08-14 19:23:57,Para Bellum,BALtheOmega,355,960,[],[]
843930150400008192,843930150400008192,2019-08-14 18:10:24,🇺🇸 Matt 🇺🇸,ks122085,6136,6722,[],[]
844090444531220480,844090444531220480,2019-08-14 19:51:19,Christine🧜‍♀️,808AlohaGirl,887,1194,[],[]
846558835464548353,846558835464548353,2019-08-14 19:04:33,Stephen Sizemore,StephenSizemo15,150,147,[],[]
847012245292929024,847012245292929024,2019-08-14 18:28:54,seizetheday,forthetruth12,2111,1958,[],[]
847169581319806976,847169581319806976,2019-08-14 20:10:15,#BlackTrumper🇺🇸🇺🇸🇺🇸,RealReggieB88,1280,1633,[],[]
847675222169800704,847675222169800704,2019-08-14 19:02:04,it's a brave new world 🇳🇱,freeholland1,355,753,[],[]
847844267414474754,847844267414474754,2019-08-14 19:17:52,Donald G Star,star_donald,52,115,[],[]
848081553368416256,848081553368416256,2019-08-14 20:03:12,DeepAI,Deep__AI,14007,1,[],[]
848195164673855490,848195164673855490,2019-08-14 18:37:53,KRANG,DestraDura,176,1484,[],[]
848942869092208640,848942869092208640,2019-08-14 17:46:09,Donald Williams,DonaldW98089178,413,498,[],[]
849343303090921474,849343303090921474,2019-08-14 18:24:26,Deb,Chimom26,330,1259,[],[]
849531002162753537,849531002162753537,2019-08-14 18:28:13,Studio Ing. Liguori,glwebeu,2274,1883,[],[]
849956687700267014,849956687700267014,2019-08-14 19:11:01,Reiny Holbrook,AwkenedWarrior,503,624,[],[]
